L_anypoint_x,L_anypoint_y,R_anypoint_x,R_anypoint_y,Confidence
232.000,418.000,15.268,434.485,0.972
704.000,826.000,584.870,841.464,0.972
980.000,1124.000,893.296,1141.792,0.972
696.000,698.000,576.191,714.693,0.972
876.000,1148.000,781.979,1162.549,0.972
712.000,722.000,592.757,736.015,0.972
256.000,552.000,40.495,568.986,0.972
520.000,818.000,362.238,833.345,0.972
1464.000,1060.000,1445.757,1074.706,0.972
980.000,1116.000,893.049,1133.672,0.972
1268.000,546.000,1245.341,563.369,0.972
1268.000,490.000,1244.273,506.329,0.972
1012.000,1196.000,937.483,1211.054,0.972
1228.000,1180.000,1156.629,1194.534,0.972
1440.000,1148.000,1421.634,1162.186,0.972
584.000,930.000,440.895,945.298,0.972
1028.000,1316.000,916.753,1333.094,0.972
688.000,738.000,568.066,753.235,0.972
496.000,674.000,336.462,690.825,0.972
1228.000,1164.000,1164.531,1178.921,0.972
696.000,690.000,578.065,706.952,0.972
288.000,530.000,80.962,546.119,0.971
296.000,690.000,87.576,706.372,0.971
1212.000,1244.000,1130.102,1257.375,0.971
1448.000,1100.000,1430.328,1113.378,0.971
1624.000,746.000,1598.600,760.924,0.971
860.000,882.000,755.141,897.019,0.971
280.000,442.000,70.835,457.700,0.971
376.000,730.000,184.836,744.932,0.971
1076.000,1164.000,1003.456,1179.124,0.971
368.000,770.000,175.530,786.230,0.971
1488.000,722.000,1469.298,736.530,0.971
1260.000,762.000,1242.075,777.955,0.971
908.000,1300.000,802.463,1317.238,0.971
360.000,570.000,166.974,587.189,0.971
640.000,674.000,512.227,691.256,0.971
1092.000,1116.000,1052.255,1131.408,0.971
1132.000,1252.000,1043.504,1267.410,0.971
328.000,794.000,126.345,810.308,0.971
240.000,554.000,24.218,571.517,0.971
1400.000,1036.000,1382.974,1049.904,0.971
416.000,690.000,239.718,706.244,0.971
592.000,930.000,447.744,943.672,0.971
1156.000,1028.000,1076.772,1043.345,0.971
352.000,610.000,158.904,627.024,0.970
1252.000,1260.000,1172.465,1274.925,0.970
860.000,762.000,754.560,776.629,0.970
1996.000,1220.000,1874.127,1235.667,0.970
1148.000,1028.000,1067.947,1043.252,0.970
616.000,1534.000,414.337,1550.075,0.970
1276.000,480.000,1250.724,495.470,0.970
416.000,682.000,238.615,696.844,0.970
704.000,834.000,585.507,850.688,0.970
1672.000,376.000,1648.807,393.696,0.970
1092.000,1276.000,994.853,1292.599,0.970
440.000,794.000,265.001,807.707,0.970
1020.000,1172.000,947.241,1187.565,0.970
1472.000,882.000,1456.109,897.024,0.970
688.000,682.000,568.408,697.528,0.970
464.000,738.000,296.101,753.076,0.970
2284.000,1068.000,2108.464,1083.323,0.970
392.000,794.000,208.179,809.915,0.970
368.000,626.000,175.820,642.763,0.970
996.000,1188.000,924.647,1202.209,0.970
1480.000,722.000,1461.329,735.885,0.969
664.000,714.000,535.212,730.352,0.969
1100.000,1276.000,1004.376,1291.934,0.969
1052.000,1196.000,977.958,1211.016,0.969
900.000,522.000,876.858,538.181,0.969
756.000,1172.000,665.846,1186.412,0.969
640.000,682.000,511.888,697.153,0.969
876.000,826.000,771.419,840.757,0.969
1600.000,546.000,1575.974,562.237,0.969
480.000,762.000,314.218,780.270,0.969
696.000,850.000,577.336,865.566,0.969
908.000,1108.000,812.338,1123.804,0.969
648.000,666.000,518.066,681.711,0.969
924.000,1300.000,820.072,1315.116,0.969
1624.000,754.000,1598.093,769.724,0.969
1276.000,1244.000,1197.647,1258.431,0.969
1180.000,1172.000,1108.344,1186.392,0.969
868.000,866.000,764.369,881.340,0.969
1252.000,482.000,1228.695,498.400,0.969
368.000,618.000,175.576,634.182,0.969
384.000,778.000,199.424,793.576,0.969
1720.000,1052.000,1689.100,1066.149,0.968
1004.000,1164.000,932.197,1178.563,0.968
